Track ID,Track Name,Album Name,Artist Name(s),Release Date,Added By,Added At,Genres,Record Label,Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,,PC1,PC2,PC3
6Ymvlzom4TQeoKqAWsZRD8,Somethin' 'Bout A Truck,Up All Night,Kip Moore,01/01/2012,kelley3clan,2016-12-23T06:03:41Z,country,MCA Nashville,213826,68,0.554,0.794,11,-5.417,1,0.035,0.0697,0,0.63,0.79,176.01,4,,-0.680012246,-0.759574495,0.583518218
7iDDWqSjOa4PNvHQgUFI73,Good Directions,Best Of,Billy Currington,01/01/2011,kelley3clan,2016-12-23T06:03:53Z,country,Mercury Nashville,216133,47,0.715,0.721,5,-2.533,1,0.0316,0.322,0,0.139,0.437,122.481,4,,-3.055460409,-0.769050749,0.434471623
0egmXjMeF4XP8HCRP5si1U,(What This World Needs Is) A Few More Rednecks,Simple Man,The Charlie Daniels Band,10/17/1989,kelley3clan,2016-12-23T06:04:33Z,country,Epic,222066,56,0.719,0.572,0,-11.463,1,0.0365,0.339,0,0.301,0.756,100.432,4,,-2.146672762,-0.503625955,0.415906303
2lYMQJyM2LOGEG3rVkdFod,Family Tradition,The Bocephus Box Set,"Hank Williams, Jr.",08/22/2000,kelley3clan,2016-12-23T06:04:48Z,country,Curb Records,242960,47,0.66,0.523,4,-12.068,1,0.0608,0.0238,0,0.142,0.794,126.342,4,,-2.636458666,0.037875373,1.125681395
5jVGZTrDusSvwhRDPmZMSB,A Country Boy Can Survive,The Bocephus Box Set,"Hank Williams, Jr.",08/22/2000,kelley3clan,2016-12-23T06:05:07Z,country,Curb Records,255000,52,0.688,0.459,7,-9.353,1,0.0365,0.144,0,0.0816,0.493,75.184,4,,0.01635437,-1.845005171,1.336531721
3IvcWWehbBcBR4YZxlGM9R,"I Like It, I Love It",All I Want,Tim McGraw,08/15/1995,kelley3clan,2016-12-23T06:05:17Z,country,Curb Records,205706,72,0.643,0.961,0,-5.298,1,0.0315,0.0196,0,0.948,0.96,124.027,4,,-1.646304515,-1.239419568,-0.985065142
59kHPbwyyCApYA8RQQEuXm,Chattahoochee,A Lot About Livin' (And A Little 'Bout Love),Alan Jackson,10/09/1992,kelley3clan,2016-12-23T06:05:23Z,country,Arista Nashville,148160,75,0.606,0.706,0,-9.665,1,0.0379,0.362,0,0.16,0.819,174.533,4,,-4.240351599,-0.409469443,-0.379273929
7lUE02KHkZM44BZgjCaWRO,Meet In the Middle,Diamond Rio,Diamond Rio,07/01/1991,kelley3clan,2016-12-23T06:05:41Z,country,BMG Special Products,198333,67,0.746,0.443,4,-11.305,1,0.0359,0.663,0,0.223,0.554,91.11,4,,-1.848778662,-0.55505608,1.389954267
0pdfN7nOHMYmKykzu1cyfm,Any Man Of Mine,The Woman In Me,Shania Twain,01/01/1995,kelley3clan,2016-12-23T06:05:47Z,country,Mercury Nashville,246760,74,0.592,0.725,8,-8.698,1,0.0412,0.207,0,0.148,0.784,78.235,4,,-2.296379483,-0.386438355,-0.201828163
3Ig9gmkoKZMAGgCXu1bwdH,Amarillo By Morning,Best Of (Deluxe Edition),George Strait,01/01/2011,kelley3clan,2016-12-23T06:05:51Z,country,MCA Nashville,172000,48,0.6,0.534,9,-9.06,1,0.0309,0.303,4.86E-05,0.413,0.552,120.879,4,,-0.581439078,-1.386514626,1.371404454
