Track Name,Album Name,Artist Name(s),Genres,Duration (ms),Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Tempo,,PC1,PC2,PC3
don't wanna break up again,eternal sunshine,Ariana Grande,pop,174006,0.513,0.73,-5.09,0.253,0.397,0,0.574,129.3,,-0.312973061,-0.62562992,-1.626928166
Saturn Returns Interlude,eternal sunshine,Ariana Grande,pop,42166,0.533,0.38,-13.588,0.107,0.902,0.000281,0.845,123.316,,-4.793741703,-1.630712248,-3.507477644
eternal sunshine,eternal sunshine,Ariana Grande,pop,210200,0.654,0.503,-7.065,0.0982,0.533,0,0.347,160.011,,-1.864199356,0.165524205,-1.433542866
supernatural,eternal sunshine,Ariana Grande,pop,163381,0.58,0.714,-6.924,0.117,0.0969,0,0.522,76.496,,-0.828247281,-0.792024618,0.055182455
true story,eternal sunshine,Ariana Grande,pop,163278,0.698,0.53,-6.136,0.086,0.468,7.60E-06,0.423,137.954,,-1.802494378,-0.680566969,-1.229274877
the boy is mine,eternal sunshine,Ariana Grande,pop,173639,0.795,0.63,-5.854,0.0434,0.157,0,0.447,97.998,,-1.347955492,-1.226110885,0.367717663
DNA,Love Yourself 承 'Her',BTS,pop,223122,0.599,0.775,-4.018,0.0543,0.0217,0,0.696,129.817,,0.127157827,-0.951408269,0.860548721
CALL ME BABY,EXODUS - The 2nd Album,EXO,pop,211013,0.692,0.886,-2.519,0.0519,0.284,0,0.879,100.03,,-0.436692179,-1.938546317,1.104655554
Monster,EX'ACT,EXO,pop,221341,0.618,0.76,-4.312,0.0596,0.0066,0,0.541,150,,0.34990616,-0.620461224,0.39749289
Pretty U,SEVENTEEN 1ST ALBUM [FIRST ‘LOVE&LETTER’],SEVENTEEN,pop,207299,0.642,0.931,-2.82,0.163,0.0173,0,0.884,155.088,,1.231176927,-1.908319874,-0.153040911
For Youth,Proof,BTS,pop,264480,0.633,0.511,-5.665,0.0368,0.434,0,0.29,116.855,,-1.966233135,0.61470021,0.357426906
LOVE ME RIGHT,LOVE ME RIGHT - The 2nd Album Repackage,EXO,pop,205128,0.625,0.83,-2.33,0.0764,0.00266,0,0.757,110.04,,0.471037934,-1.542489535,0.95616232
UNLOVE (prod. HONNE),Zip,Zion.T,rap,180044,0.92,0.427,-8.419,0.057,0.169,0.285,0.917,106.976,,-2.575842493,-2.083761407,-0.25508413
Converse High,The Most Beautiful Moment in Life Pt.1,BTS,pop,209715,0.724,0.793,-3.982,0.0895,0.0597,0,0.817,98.003,,-0.242238633,-1.881249351,0.867901597
Dope,The Most Beautiful Moment in Life Pt.1,BTS,pop,240020,0.595,0.89,-3.109,0.245,0.0486,0,0.62,154.071,,1.414135368,-0.871981704,-0.629686635
The Boys,The Boys - The 3rd Album,Girls' Generation,pop,228880,0.885,0.937,-0.678,0.0898,0.142,0,0.878,114.974,,0.456171661,-2.757606594,0.987615005
Bubble Pop!,Bubble Pop!,HyunA,pop,212244,0.84,0.871,-4.662,0.0639,0.0842,0.00392,0.767,146.005,,0.030177853,-2.060899147,0.420283488
Volume Up,Volume Up,4Minute,pop,230008,0.641,0.877,-2.726,0.0337,0.014,0.000131,0.454,130.045,,0.634887077,-0.619705055,1.134531523
Blood Sweat & Tears,Wings,BTS,pop,217051,0.584,0.885,-3.571,0.104,0.0244,0,0.605,92.9,,0.449785065,-0.926373035,0.876747025
Good Boy Gone Bad,minisode 2: Thursday's Child,TOMORROW X TOGETHER,pop,191038,0.475,0.695,-5.919,0.102,0.0159,0,0.552,100.009,,-0.265449566,-0.294492839,0.298344978
VERY NICE,Love&Letter repackage album,SEVENTEEN,pop,192092,0.746,0.898,-2.818,0.0725,0.0526,0,0.879,121.967,,0.340270938,-2.341771449,0.7536371
Miniskirt,MINISKIRT,AOA,pop,179808,0.758,0.858,-2.502,0.0464,0.43,0,0.963,119.992,,-0.839536946,-2.517330557,0.471055942
PLAYBOY,EXODUS - The 2nd Album,EXO,pop,212132,0.529,0.722,-4.815,0.0814,0.213,0,0.666,79.951,,-0.858204517,-0.641636544,0.796761251
"yes, and?",eternal sunshine,Ariana Grande,pop,214994,0.787,0.775,-6.614,0.0548,0.19,6.54E-05,0.787,118.998,,-1.06541486,-1.684263019,0.595752121
we can't be friends (wait for your love) – string version,we can't be friends (wait for your love),Ariana Grande,pop,222442,0.582,0.285,-8.632,0.0352,0.855,0,0.362,115.857,,-4.323871059,0.894444044,-0.837447498
i wish i hated you,eternal sunshine,Ariana Grande,pop,153633,0.561,0.244,-9.152,0.0328,0.837,0,0.278,65.418,,-4.935954782,0.624281641,-0.842120853
imperfect for you,eternal sunshine,Ariana Grande,pop,182566,0.624,0.38,-7.426,0.0301,0.496,0,0.251,150.14,,-2.59837014,0.458639953,-0.971921431
ordinary things (feat. Nonna),eternal sunshine,"Ariana Grande,Nonna",pop,168500,0.702,0.552,-8.261,0.0647,0.729,0,0.296,114.991,,-2.945249114,-0.127276956,-1.237095811
Pied Piper,Love Yourself 承 'Her',BTS,pop,245620,0.583,0.712,-4.942,0.0326,0.2,0,0.778,94.051,,-1.115462777,-0.778013618,1.489076231
HOME,MAP OF THE SOUL : PERSONA,BTS,pop,234177,0.633,0.799,-4.625,0.0427,0.0144,0,0.534,142.991,,0.229410292,-0.555372658,0.777053951
Wake Me Up Before You Go-Go,Make It Big,Wham!,pop,231333,0.62,0.573,-11.893,0.0423,0.271,0,0.897,81.548,,-3.052690079,-0.692650618,0.904629232
Sweet Child O' Mine,Appetite For Destruction,Guns N' Roses,metal,356066,0.445,0.952,-5.321,0.0522,0.09,0.0843,0.624,125.304,,0.443376961,0.747216136,1.68577903
Now,Chemistry,Trouble Maker,pop,218697,0.694,0.9,-3.31,0.0393,0.39,4.81E-06,0.6,117.94,,-0.533393205,-1.100212335,0.690648749
FREEDOM,BLUE ENCOUNT HALL TOUR 2019 apartment of SICK(S) SET LIST,BLUE ENCOUNT,pop,239893,0.484,0.94,-4.013,0.069,0.000262,0,0.241,102.034,,0.847031683,0.504018182,1.031738385
Prayer X,Sympa,King Gnu,pop,195226,0.528,0.752,-6.006,0.28,0.419,0,0.542,174.112,,0.011011799,-0.323553015,-2.25688549
Kaikai Kitan,Kaikai Kitan / Ao No Waltz,Eve,pop,221426,0.584,0.911,-3.515,0.09,0.0119,0,0.606,92.502,,0.502871295,-0.908696268,1.072288954
found & lost,s p a c e [ s ],Survive Said The Prophet,pop,188960,0.547,0.987,-3.71,0.0783,0.000133,0.000303,0.382,104.086,,0.920202912,-0.4913956,0.651244588
"Centimeter (From Rent a Girlfriend: Kanojo, Okarishimasu)","Centimeter (From Rent a Girlfriend: Kanojo, Okarishimasu)",Miura Jam,pop,225343,0.622,0.864,-6.196,0.0399,0.00275,0.00036,0.796,139.954,,-0.01673751,-1.120436548,0.961044171
炎,炎,LiSA,pop,275000,0.477,0.685,-4.554,0.0325,0.105,0,0.308,152.04,,0.012906071,0.957695669,0.735998076
GIRI GIRI,GIRI GIRI,"Masayuki Suzuki,すぅ",pop,258765,0.78,0.889,-4.053,0.0351,0.223,0,0.961,127.993,,-0.51846727,-1.968732674,1.364217371
光るなら,Milk,Goose house,pop,252133,0.491,0.879,-2.722,0.0652,0.391,0,0.571,160.092,,0.251076114,-0.044709454,0.123963422
Like,2 Cool 4 Skool,BTS,pop,231893,0.737,0.723,-4.165,0.0705,0.303,0,0.783,100.939,,-1.108277295,-1.520493605,0.745561057
Run BTS,Proof,BTS,pop,204939,0.724,0.818,-3.747,0.168,0.0201,0,0.696,77.004,,0.107072283,-1.770643369,0.533848936
Standing Next to You,GOLDEN,Jung Kook,pop,206019,0.711,0.809,-4.389,0.0955,0.0447,0,0.816,106.017,,-0.121184948,-1.836656723,0.693586038
Love Maze,Love Yourself 轉 'Tear',BTS,pop,221529,0.637,0.876,-4.652,0.0618,0.0483,0,0.759,149.93,,0.374147648,-1.234183117,0.548841472
Just One Day,Skool Luv Affair,BTS,pop,239469,0.685,0.713,-4.705,0.266,0.179,0,0.301,95.092,,-0.050354511,-0.283999449,-0.621300962
Life Goes On,BE,BTS,pop,207481,0.566,0.716,-5.733,0.0424,0.00691,0,0.45,81.068,,-0.61585662,-0.262446039,1.21651959
134340,Love Yourself 轉 'Tear',BTS,pop,230063,0.665,0.687,-6.466,0.0547,0.155,9.28E-05,0.651,106.023,,-1.117916455,-0.790308658,0.790295629
Trivia 轉 : Seesaw,Love Yourself 結 'Answer',BTS,pop,246334,0.707,0.791,-4.483,0.035,0.179,0,0.674,106.985,,-0.695431778,-1.063319143,1.310019492
