Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added At,Genres,Danceability,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Play Count
Memories,Superache,Conan Gray,2022-06-24,248818,79,2025-03-20T21:10:44Z,,0.34,11.0,-6.306,0.044,0.00979,0.0,0.348,0.556,112.969,4.0,43.0
Pied Piper,Love Yourself 承 'Her',BTS,2017-09-18,245620,71,2025-03-20T21:10:44Z,k-pop,0.583,2.0,-4.942,0.0326,0.2,0.0,0.268,0.778,94.051,4.0,24.0
HOME,MAP OF THE SOUL : PERSONA,BTS,2019-04-12,234177,67,2025-03-20T21:10:44Z,k-pop,0.633,7.0,-4.625,0.0427,0.0144,0.0,0.194,0.534,142.991,4.0,1.0
because i liked a boy,emails i can't send,Sabrina Carpenter,2022-07-15,196458,81,2025-03-20T21:10:44Z,,0.386,11.0,-7.299,0.374,0.363,0.0,0.117,0.161,146.879,4.0,9.0
this is what falling in love feels like,this is what ____ feels like (Vol. 1-4),JVKE,2022-09-23,120308,75,2025-03-20T21:10:44Z,,0.422,11.0,-5.53,0.0544,0.617,0.0,0.0837,0.332,128.934,5.0,5.0
Romantic Homicide,Romantic Homicide,d4vd,2022-07-20,132630,85,2025-03-20T21:10:44Z,,0.571,6.0,-10.613,0.0299,0.453,0.00805,0.322,0.216,132.052,4.0,2.0
traitor,SOUR,Olivia Rodrigo,2021-05-21,229226,86,2025-03-20T21:10:44Z,,0.38,3.0,-7.885,0.0338,0.691,0.0,0.12,0.0849,100.607,4.0,7.0
telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,2020-12-04,160191,82,2025-03-20T21:10:44Z,,0.653,11.0,-9.016,0.0502,0.112,0.0,0.203,0.553,83.97,4.0,1.0
Lover,Lover,Taylor Swift,2019-08-23,221306,84,2025-03-20T21:10:44Z,,0.359,7.0,-7.582,0.0919,0.492,1.58e-05,0.118,0.453,68.534,4.0,4.0
Maniac,Kid Krow,Conan Gray,2020-03-20,185773,76,2025-03-20T21:10:44Z,,0.628,8.0,-5.46,0.0435,0.00162,0.0,0.354,0.493,108.045,4.0,22.0
Heaven,Heaven,CARYS,2023-12-01,145154,17,2025-03-20T21:10:44Z,,0.797,11.0,-7.815,0.0432,0.458,1.57e-06,0.231,0.631,95.986,4.0,23.0
the girl (that you can't get over),inhale - the complete story,Lili-Ann De Francesco,2023-12-21,167533,18,2025-03-20T21:10:44Z,,0.411,11.0,-7.446,0.057,0.301,0.0,0.105,0.222,179.017,4.0,1.0
Boy in the Back,Boy in the Back,SKYLAR,2024-01-19,151847,34,2025-03-20T21:10:44Z,,0.619,9.0,-4.76,0.0362,0.00496,0.0,0.344,0.507,97.993,4.0,5.0
boys beware,teenage nightmare,Mad Tsai,2024-10-10,133887,53,2025-03-20T21:10:44Z,,0.783,10.0,-7.74,0.051,0.025,0.0,0.17,0.775,110.047,4.0,8.0
hide n seek,luna park,Ethan Bortnick,2024-02-16,176146,54,2025-03-20T21:10:44Z,,0.622,2.0,-3.324,0.0382,0.0656,0.000789,0.332,0.483,89.993,4.0,6.0
STEPHEN KING,Wasting My Nights,anaïs,2024-02-02,179960,27,2025-03-20T21:10:44Z,,0.682,11.0,-5.613,0.0725,0.0652,0.0,0.201,0.406,121.938,4.0,7.0
Why Am I Like This?,This World Fucking Sucks,Cassyette,2024-08-23,146080,31,2025-03-20T21:10:44Z,,0.538,0.0,-4.138,0.0319,0.0132,1.78e-05,0.116,0.39,82.425,4.0,6.0
Retail Therapy,Crazy Woman,Cloudy June,2024-11-01,149625,28,2025-03-20T21:10:44Z,,0.681,11.0,-9.835,0.0551,0.0547,1.09e-06,0.135,0.461,130.007,4.0,1.0
Self Destruction Mode,Self Destruction Mode,"The Chainsmokers,bludnymph",2023-06-02,147836,49,2025-03-20T21:10:44Z,,0.623,9.0,-6.15,0.0653,0.161,0.0,0.214,0.549,160.045,4.0,1.0
Alien,Alien,"Nico & Chelsea,Nico Collins,Chelsea Collins",2023-12-22,193275,37,2025-03-20T21:10:44Z,nightcore,0.507,7.0,-4.963,0.0299,0.0284,0.0,0.424,0.436,89.982,4.0,3.0
Wake Me Up Before You Go-Go,Make It Big,Wham!,1984-10-23,231333,79,2025-03-20T21:10:44Z,christmas,0.62,0.0,-11.893,0.0423,0.271,0.0,0.0607,0.897,81.548,4.0,3.0
Sweet Child O' Mine,Appetite For Destruction,Guns N' Roses,1987-07-21,356066,86,2025-03-20T21:10:44Z,"rock,glam metal,hard rock,classic rock",0.445,6.0,-5.321,0.0522,0.09,0.0843,0.112,0.624,125.304,4.0,1.0
