Track Name,Album Name,Artist Name(s),Release Date,Added At,Genres,Duration (ms),Popularity,Danceability,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Play Count
Sad Ghost,Sad Ghost,ari hicks,2022-10-20,2025-03-21T21:22:13Z,,187590,22,0.616,9.0,-10.735,0.0364,0.731,0.000256,0.113,0.319,147.976,4.0,3.0
Paragraphs,Paragraphs,Luke Chiang,2019-10-18,2025-03-21T21:22:13Z,,233544,64,0.51,2.0,-9.913,0.0576,0.827,8.01e-06,0.28,0.208,73.354,4.0,85.0
May I Ask,May I Ask,"Luke Chiang,Alexis Kim",2019-04-01,2025-03-21T21:22:13Z,,230592,66,0.716,2.0,-9.216,0.0468,0.353,0.0,0.0897,0.389,146.021,4.0,82.0
Shouldn't Be,Shouldn't Be,Luke Chiang,2019-05-01,2025-03-21T21:22:13Z,,210480,73,0.647,6.0,-10.344,0.0312,0.728,0.0,0.123,0.323,124.999,3.0,89.0
Used to Me,Used to Me,Luke Chiang,2019-06-11,2025-03-21T21:22:13Z,,179544,65,0.797,5.0,-7.315,0.143,0.318,8.98e-06,0.352,0.691,100.029,4.0,85.0
Home,Home,Luke Chiang,2019-09-13,2025-03-21T21:22:13Z,,170952,61,0.808,0.0,-8.216,0.0439,0.254,1.61e-05,0.13,0.418,93.006,4.0,82.0
SHUT UP,SHUT UP,Hayes Warner,2022-11-25,2025-03-21T21:22:13Z,,153343,31,0.716,5.0,-5.677,0.0529,0.00852,0.000153,0.302,0.862,121.991,4.0,8.0
OVER MY HEAD,OVER MY HEAD,Neoni,2023-01-13,2025-03-21T21:22:13Z,,138256,39,0.798,9.0,-5.433,0.0921,0.0266,0.0,0.355,0.55,119.932,4.0,3.0
Muddy Feet (feat. Sia),Endless Summer Vacation,"Miley Cyrus,Sia",2023-08-18,2025-03-21T21:22:13Z,,136946,54,0.548,7.0,-4.737,0.109,0.076,0.000494,0.19,0.524,172.083,4.0,2.0
Poison,Messy,Stevie Bill,2022-11-11,2025-03-21T21:22:13Z,,124000,39,0.681,2.0,-6.55,0.0373,0.0672,0.000798,0.129,0.47,119.881,4.0,8.0
20 Questions,20 Questions,Zolita,2022-09-21,2025-03-21T21:22:13Z,,179226,37,0.657,2.0,-6.415,0.0507,0.00547,0.0,0.0817,0.743,139.924,4.0,1.0
I Just Came To Dance,I Just Came To Dance,Mae Muller,2022-10-27,2025-03-21T21:22:13Z,,144950,33,0.868,2.0,-4.738,0.156,0.0925,6.54e-05,0.0689,0.754,115.98,4.0,4.0
ever fallen?,ever fallen?,Kate Peytavin,2022-12-16,2025-03-21T21:22:13Z,,168725,36,0.352,1.0,-7.304,0.0352,0.131,1.1e-05,0.127,0.151,100.008,3.0,9.0
ZOMBIE,ZOMBIE,FLØRE,2023-01-20,2025-03-21T21:22:13Z,,193493,24,0.371,9.0,-3.94,0.0572,0.0162,0.0,0.213,0.473,74.406,4.0,10.0
Maybe All the Rumours Are True,Maybe All the Rumours Are True,CATTY,2022-07-22,2025-03-21T21:22:13Z,,194549,32,0.544,9.0,-2.642,0.235,0.0463,0.0,0.16,0.559,167.911,4.0,1.0
Undone,Drawing Wings From The Light,Circe,2023-07-19,2025-03-21T21:22:13Z,,212547,15,0.506,8.0,-4.92,0.0283,0.00395,0.00259,0.372,0.153,131.025,4.0,3.0
cynical,cynical,Bea Miller,2023-02-15,2025-03-21T21:22:13Z,,173950,31,0.499,7.0,-4.57,0.148,0.00218,2.41e-06,0.597,0.494,159.842,4.0,3.0
i'm yours,i'm yours,Isabel LaRosa,2022-10-28,2025-03-21T21:22:13Z,,145667,79,0.398,5.0,-7.07,0.0756,0.204,5.13e-05,0.443,0.635,111.487,4.0,13.0
Devil Is A Woman,Devil Is A Woman,Cloudy June,2022-12-09,2025-03-21T21:22:13Z,,192491,45,0.682,10.0,-6.484,0.076,0.193,0.000208,0.142,0.615,92.062,4.0,5.0
STRUT,STRUT,EMELINE,2022-08-19,2025-03-21T21:22:13Z,,117727,62,0.842,11.0,-5.906,0.0696,0.0419,2.58e-05,0.112,0.326,107.952,3.0,6.0
Mikrokosmos,MAP OF THE SOUL : PERSONA,BTS,2019-04-12,2025-03-21T21:22:13Z,k-pop,224225,68,0.579,8.0,-5.212,0.114,0.125,0.0,0.0502,0.475,174.043,3.0,3.0
Lately,Nostalgia Pack,"Forrest Frank,Forrest.",2023-05-26,2025-03-21T21:22:13Z,"christian hip hop,christian pop,pop worship,christian,worship,gospel r&b",207017,50,0.714,0.0,-4.069,0.181,0.227,1.73e-05,0.276,0.869,160.02,4.0,16.0
Dream Girl,Chapter One,Anderson Rocio,2022-11-18,2025-03-21T21:22:13Z,,141797,12,0.43,6.0,-7.137,0.182,0.0431,0.0,0.365,0.347,181.972,4.0,3.0
Unholy (feat. Kim Petras) - Nova Twins Remix,Unholy (feat. Kim Petras) [Nova Twins Remix],"Sam Smith,Kim Petras,Nova Twins",2022-12-09,2025-03-21T21:22:13Z,soft pop,177800,36,0.618,2.0,-4.309,0.052,0.00624,0.00044,0.411,0.391,131.031,4.0,3.0
Imagine,I've Seen You Somewhere Before,Miro Mas,2022-05-13,2025-03-21T21:22:13Z,lo-fi,165269,37,0.739,8.0,-17.196,0.0542,0.947,0.933,0.123,0.363,126.072,4.0,6.0
Peaches,001 (other people's songs),lokash,2021-12-17,2025-03-21T21:22:13Z,lo-fi,170487,40,0.714,0.0,-12.742,0.0676,0.458,0.865,0.0973,0.192,163.804,4.0,8.0
Can't Help Falling in Love,Feelin' Cute,<3BEAT,2022-05-13,2025-03-21T21:22:13Z,lo-fi,223014,43,0.507,2.0,-17.482,0.0287,0.955,0.904,0.0876,0.145,68.001,4.0,5.0
Secrets,Midnight Chat,Yedai,2021-08-20,2025-03-21T21:22:13Z,"lo-fi,lo-fi beats",132999,17,0.812,2.0,-13.667,0.0586,0.735,0.621,0.268,0.219,120.009,4.0,1.0
Red Bottom Sky,I've Seen You Somewhere Before,Miro Mas,2022-05-13,2025-03-21T21:22:13Z,lo-fi,212720,39,0.584,5.0,-16.245,0.292,0.965,0.824,0.125,0.345,119.612,4.0,5.0
Purple Rain,Portals pt 2,Miro Mas,2023-01-13,2025-03-21T21:22:13Z,lo-fi,241529,41,0.63,6.0,-17.753,0.0614,0.819,0.92,0.11,0.152,97.959,4.0,9.0
Stay,I've Seen You Somewhere Before,Miro Mas,2022-05-13,2025-03-21T21:22:13Z,lo-fi,182500,40,0.77,1.0,-15.219,0.067,0.892,0.917,0.13,0.381,133.983,4.0,5.0
Jealous,Covers Collection (Vol. 3),LAV8,2022-04-29,2025-03-21T21:22:13Z,"lo-fi,lo-fi beats",244543,44,0.708,0.0,-16.025,0.122,0.569,0.892,0.116,0.641,150.01,4.0,6.0
sex money feelings die,My Name Is Spruce,Granlund,2022-06-10,2025-03-21T21:22:13Z,lo-fi,173985,39,0.792,5.0,-14.304,0.0416,0.272,0.893,0.0989,0.107,114.991,3.0,3.0
(Sittin' On) the Dock of the Bay,Covers Collection (Vol. 2),LAV8,2021-10-01,2025-03-21T21:22:13Z,"lo-fi,lo-fi beats",132989,40,0.833,0.0,-13.174,0.583,0.424,0.857,0.0836,0.274,194.138,4.0,6.0
Ain't No Sunshine,Covers Collection (Vol. 2),LAV8,2021-10-01,2025-03-21T21:22:13Z,"lo-fi,lo-fi beats",154666,41,0.711,2.0,-12.6,0.0949,0.637,0.502,0.109,0.604,89.958,4.0,8.0
I Want It That Way,Covers Collection (Vol. 4),LAV8,2022-06-17,2025-03-21T21:22:13Z,"lo-fi,lo-fi beats",214201,44,0.516,1.0,-16.86,0.0461,0.348,0.82,0.123,0.162,179.997,4.0,10.0
i d n f u 2 lm (remix),i d n f u 2 lm (remix),OMXS,2020-10-16,2025-03-21T21:22:13Z,lo-fi,143000,29,0.639,4.0,-14.295,0.0758,0.956,0.906,0.273,0.239,138.08,3.0,4.0
