Track Name,Album Name,Artist Name(s),Duration (ms),pop,Genres,dance,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Song Age
Snowman,1 Am. Study Session,WYS,195136,59,lo-fi,0.713,0.193,9,-16.141,0,0.0461,0.802,0.893,0.0653,0.0447,109.992,4,5.319644079397673
Lonely,Lonely,Idealism,122500,41,lo-fi,0.286,0.241,8,-12.319,0,0.0466,0.541,0.935,0.0904,0.112,158.895,4,8.136892539356605
Old Roots New Trees,Nest,"Made in M,Smuv",92250,49,lo-fi,0.857,0.146,4,-10.946,1,0.328,0.836,0.955,0.109,0.778,82.9,4,8.410677618069816
this girl,Gentle Boy,Elijah Who,122704,54,lo-fi,0.79,0.133,8,-9.365,1,0.0864,0.872,0.797,0.111,0.418,69.997,4,7.509924709103354
i'm closing my eyes,i'm closing my eyes,potsu,118302,60,lo-fi,0.877,0.11,0,-13.87,0,0.0996,0.501,0.677,0.0872,0.522,134.057,4,7.879534565366187
Again,Penthouse,Wun Two,143132,48,lo-fi,0.762,0.525,6,-11.863,1,0.198,0.949,0.87,0.114,0.652,82.78,4,10.288843258042437
Eternal Youth,Eternal Youth,RŮDE,205766,62,lo-fi,0.655,0.487,6,-7.988,1,0.033,0.0347,0.897,0.271,0.0454,139.914,4,7.655030800821355
Alright,To Pimp A Butterfly,Kendrick Lamar,219333,83,hip hop,0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034,4,10.050650239561945
"Don't Shoot (feat. Rick Ross, Fabolous, Diddy, 2 Chainz, Wale, DJ Khaled, Swizz Beatz, Yo Gotti, Currensy, Problem, King Pharaoh, TGT)","Don't Shoot (feat. Rick Ross, 2 Chainz, Diddy, Fabolous, Wale, DJ Khaled, Swizz Beatz, Yo Gotti, Currensy, Problem, King Pharaoh & TGT) - Single","The Game,Rick Ross,Fabolous,Diddy,2 Chainz,Wale,DJ Khaled,Swizz Beatz,Yo Gotti,Curren$y,JasonMartin,King Pharaoh,TGT",367151,28,hip hop,0.699,0.491,1,-9.911,1,0.218,0.0756,0,0.61,0.24,81.095,4,10.600958247775496
Mad (feat. Lil Wayne),A Seat at the Table,"Solange,Lil Wayne",235493,53,rap,0.827,0.477,0,-5.025,1,0.254,0.101,4.15e-05,0.0908,0.599,119.807,4,8.506502395619439
Time's A Wastin,Mama's Gun,Erykah Badu,400840,50,soul,0.677,0.326,11,-10.684,0,0.0671,0.201,0.00143,0.201,0.456,75.36,4,24.421629021218344
Police Get Away Wit Murder,Still Brazy (Deluxe),YG,199840,28,hyphy,0.692,0.807,10,-5.348,1,0.262,0.0329,0,0.14,0.407,88.011,4,8.793976728268309
Inner City Blues (Make Me Wanna Holler),What's Going On,Marvin Gaye,327706,61,soul,0.63,0.455,1,-13.667,1,0.0322,0.792,0.132,0.133,0.645,94.08,4,53.869952087611225
Freedom (feat. Kendrick Lamar),emo,"Beyoncé,Kendrick Lamar",289760,62,hip hop,0.437,0.803,2,-6.412,1,0.305,0.0376,0,0.683,0.406,84.378,4,8.944558521560575
Guarding The Gates - From Queen & Slim: The Soundtrack,Guarding The Gates (From Queen & Slim: The Soundtrack),Ms. Lauryn Hill,360312,40,soul,0.322,0.74,11,-6.393,1,0.117,0.127,0,0.361,0.317,148.604,4,5.382614647501711
The Room Where It Happens,Hamilton (Original Broadway Cast Recording),"Leslie Odom Jr.,Lin-Manuel Miranda,Daveed Diggs,Okieriete Onaodowan,Original Broadway Cast of Hamilton",318214,69,musicals,0.638,0.49,4,-9.382,0,0.426,0.271,0,0.664,0.511,173.552,4,9.522245037645447
Washington on Your Side,Hamilton (Original Broadway Cast Recording),"Leslie Odom Jr.,Daveed Diggs,Okieriete Onaodowan,Original Broadway Cast of Hamilton",181477,64,musicals,0.884,0.521,10,-10.216,1,0.348,0.165,0,0.0756,0.425,134.051,4,9.522245037645447
We Know,Hamilton (Original Broadway Cast Recording),"Lin-Manuel Miranda,Daveed Diggs,Leslie Odom Jr.,Okieriete Onaodowan",142044,64,musicals,0.718,0.484,11,-10.376,1,0.523,0.312,0,0.127,0.692,113.855,4,9.522245037645447
No More Words (Jeff Hardy),"WWE: The Music, Vol. 8","Various Artists,Endeverafter",263333,54,champeta,0.542,0.59,10,-16.353,0,0.0342,1.1e-05,0.0005,0.104,0.882,137.985,4,17.026694045174537
Wait for It,Hamilton (Original Broadway Cast Recording),"Leslie Odom Jr.,Original Broadway Cast of Hamilton",193749,72,musicals,0.543,0.473,6,-9.638,1,0.157,0.124,4.04e-06,0.0922,0.519,86.534,4,9.522245037645447
One Last Time,Hamilton (Original Broadway Cast Recording),"Christopher Jackson,Lin-Manuel Miranda,Original Broadway Cast of Hamilton",296387,63,musicals,0.449,0.42,8,-9.624,1,0.356,0.631,0,0.0805,0.41,176.989,4,9.522245037645447
Wait for It,Hamilton (Original Broadway Cast Recording),"Leslie Odom Jr.,Original Broadway Cast of Hamilton",193749,72,musicals,0.543,0.473,6,-9.638,1,0.157,0.124,4.04e-06,0.0922,0.519,86.534,4,9.522245037645447
Something In The Water,Collin EP,"Daveed Diggs,Emmy Raver – Lampman",237933,23,musicals,0.436,0.781,7,-5.211,1,0.399,0.0433,0,0.349,0.384,79.176,3,6.724161533
Sakura Kiss (From Ouran High School Host Club),Nostalgia II,AmaLee,89638,36,anime,0.478,0.893,2,-3.744,1,0.149,0.00627,1.31e-05,0.155,0.506,166.016,4,7.490759753593429
Ex-Wives,Six: The Musical (Studio Cast Recording),SIX,350218,63,musicals,0.703,0.443,0,-9.601,0,0.0862,0.0499,0,0.338,0.367,136.647,4,6.590006844626968
Feed Me (Git It!),Little Shop of Horrors (The New Cast Album),"Jonathan Groff,Kingsley Leggs,Tammy Blanchard,Christian Borle,Ari Groover,Joy Woods,Salome Smith",256696,41,musicals,0.567,0.816,10,-6.911,1,0.204,0.0173,0,0.17,0.693,95.932,4,5.286789869952088
"Left Brain, Right Brain",What.,Bo Burnham,394392,46,comedy,0.462,0.704,4,-6.011,1,0.621,0.639,0,0.655,0.548,169.408,4,11.293634496919918
See You Again,The Living Room Sessions Vol. 2,Kina Grannis,177628,26,pop,0.588,0.366,10,-10.189,1,0.0615,0.906,0,0.249,0.219,143.668,4,8.774811772758385
I'll Keep You Safe,I'll Keep You Safe,"sagun,Shiloh Dynasty",185875,65,lo-fi,0.752,0.0625,7,-24.694,1,0.0557,0.945,0.819,0.178,0.462,114.982,4,7.490759753593429
Flowers,Vibes 3,The Deli,187828,49,lo-fi,0.838,0.364,7,-10.006,1,0.134,0.0849,0.981,0.26,0.218,79.987,4,9.100616016427105
