Track Name,Album Name,Artist Name(s),Duration (ms),Popularity,Genres,dance,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Song Age
Dope,The Most Beautiful Moment in Life Pt.1,BTS,240020,67,pop,0.595,0.89,10,-3.109,0,0.245,0.0486,0,0.32,0.62,154.071,4,9.930184804928132
The Boys,The Boys - The 3rd Album,Girls' Generation,228880,59,pop,0.885,0.937,1,-0.678,0,0.0898,0.142,0,0.103,0.878,114.974,4,13.456536618754278
Bubble Pop!,Bubble Pop!,HyunA,212244,52,pop,0.84,0.871,10,-4.662,0,0.0639,0.0842,0.00392,0.285,0.767,146.005,4,13.74674880219028
Volume Up,Volume Up,4Minute,230008,45,pop,0.641,0.877,3,-2.726,0,0.0337,0.014,0.000131,0.0792,0.454,130.045,4,12.982888432580424
Blood Sweat & Tears,Wings,BTS,217051,72,pop,0.584,0.885,0,-3.571,0,0.104,0.0244,0,0.357,0.605,92.9,4,8.479123887748118
Good Boy Gone Bad,minisode 2: Thursday's Child,TOMORROW X TOGETHER,191038,66,pop,0.475,0.695,1,-5.919,1,0.102,0.0159,0,0.125,0.552,100.009,4,2.9021218343600275
VERY NICE,Love&Letter repackage album,SEVENTEEN,192092,68,pop,0.746,0.898,3,-2.818,0,0.0725,0.0526,0,0.0858,0.879,121.967,4,8.747433264887064
Miniskirt,MINISKIRT,AOA,179808,70,pop,0.758,0.858,5,-2.502,1,0.0464,0.43,0,0.201,0.963,119.992,4,11.211498973305956
PLAYBOY,EXODUS - The 2nd Album,EXO,212132,51,pop,0.529,0.722,1,-4.815,0,0.0814,0.213,0,0.102,0.666,79.951,4,10.012320328542094
"yes, and?",eternal sunshine,Ariana Grande,214994,77,pop,0.787,0.775,1,-6.614,1,0.0548,0.19,6.54e-05,0.113,0.787,118.998,4,1.0704996577686516
we can't be friends (wait for your love) – string version,we can't be friends (wait for your love),Ariana Grande,222442,62,pop,0.582,0.285,5,-8.632,1,0.0352,0.855,0,0.0797,0.362,115.857,4,1.0704996577686516
i wish i hated you,eternal sunshine,Ariana Grande,153633,71,pop,0.561,0.244,7,-9.152,1,0.0328,0.837,0,0.111,0.278,65.418,4,1.0704996577686516
imperfect for you,eternal sunshine,Ariana Grande,182566,71,pop,0.624,0.38,4,-7.426,1,0.0301,0.496,0,0.437,0.251,150.14,3,1.0704996577686516
ordinary things (feat. Nonna),eternal sunshine,"Ariana Grande,Nonna",168500,66,pop,0.702,0.552,6,-8.261,1,0.0647,0.729,0,0.332,0.296,114.991,4,1.0704996577686516
Pied Piper,Love Yourself 承 'Her',BTS,245620,71,pop,0.583,0.712,2,-4.942,0,0.0326,0.2,0,0.268,0.778,94.051,4,7.540041067761807
HOME,soul,BTS,234177,67,pop,0.633,0.799,7,-4.625,0,0.0427,0.0144,0,0.194,0.534,142.991,4,5.976728268309377
Now,Chemistry,Trouble Maker,218697,49,pop,0.694,0.9,2,-3.31,0,0.0393,0.39,4.81e-06,0.27,0.6,117.94,4,11.430527036276523
Like,2 Cool 4 Skool,BTS,231893,66,pop,0.737,0.723,0,-4.165,0,0.0705,0.303,0,0.26,0.783,100.939,4,11.808350444900753
Run BTS,Proof,BTS,204939,75,pop,0.724,0.818,8,-3.747,1,0.168,0.0201,0,0.0358,0.696,77.004,4,2.814510609
Standing Next to You,GOLDEN,Jung Kook,206019,83,pop,0.711,0.809,2,-4.389,0,0.0955,0.0447,0,0.339,0.816,106.017,4,1.4154688569472964
Love Maze,Love Yourself 轉 'Tear',BTS,221529,66,pop,0.637,0.876,9,-4.652,1,0.0618,0.0483,0,0.0728,0.759,149.93,4,6.877481177275839
Just One Day,Skool Luv Affair,BTS,239469,68,pop,0.685,0.713,6,-4.705,0,0.266,0.179,0,0.377,0.301,95.092,4,11.137577002053389
Life Goes On,BE,BTS,207481,75,pop,0.566,0.716,1,-5.733,1,0.0424,0.00691,0,0.37,0.45,81.068,4,4.3668720054757015
134340,Love Yourself 轉 'Tear',BTS,230063,62,pop,0.665,0.687,11,-6.466,0,0.0547,0.155,9.28e-05,0.173,0.651,106.023,4,6.877481177275839
Trivia 轉 : Seesaw,Love Yourself 結 'Answer',BTS,246334,65,pop,0.707,0.791,5,-4.483,0,0.035,0.179,0,0.102,0.674,106.985,4,6.609171800136893
Airplane pt.2,Love Yourself 轉 'Tear',BTS,218614,68,pop,0.77,0.817,0,-4.092,0,0.0339,0.0265,0.000103,0.084,0.866,139.979,4,6.877481177275839
Hate You,GOLDEN,Jung Kook,154236,71,pop,0.419,0.274,2,-9.321,1,0.0314,0.862,0,0.092,0.25,79.595,4,1.4154688569472964
My Time,soul,BTS,234457,64,pop,0.674,0.641,0,-5.139,0,0.0339,0.149,0,0.0925,0.664,99.91,4,5.114305270362765
Filter,soul,BTS,180220,68,pop,0.779,0.762,10,-5.188,0,0.0631,0.0224,0,0.121,0.859,110.043,4,5.114305270362765
Yes or No,GOLDEN,Jung Kook,147557,75,pop,0.671,0.839,1,-2.645,1,0.0866,0.179,0,0.0748,0.882,83.845,4,1.4154688569472964
Houdini,Radical Optimism,Dua Lipa,185917,84,pop,0.744,0.789,9,-4.876,0,0.059,0.0036,0.00144,0.0947,0.866,116.985,4,0.917180014
Kill This Love,KILL THIS LOVE,BLACKPINK,191050,72,pop,0.763,0.835,2,-5.234,0,0.191,0.323,0.00221,0.225,0.645,131.875,4,5.9958932238193015
Dynamite,BE,BTS,199053,79,pop,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,4,4.3668720054757015
Intro: Never Mind,The Most Beautiful Moment in Life Pt.2,BTS,136428,54,pop,0.339,0.949,6,-4.942,0,0.904,0.00765,0,0.329,0.397,79.956,4,9.341546886
End of Beginning,DECIDE,Djo,159245,89,pop,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4,2.546201232032854
Slow Motion,Mika's Laundry,"Matt Champion,JENNIE",165653,58,pop,0.396,0.483,8,-10.487,1,0.221,0.781,5.94e-05,0.111,0.0709,157.625,4,1.0321697467488022
Effortless,Effortless,A.C.E,182241,37,pop,0.837,0.767,5,-4.557,1,0.0948,0.0968,0,0.163,0.659,125.014,4,1.404517453798768
