Track Name,Album Name,Artist Name(s),Added At,Genres,Duration (ms),Popularity,Danceability,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Song Age,Play Count
End of the Road,Somewhere. Nowhere.,Kupla,2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",166562,34,0.46,7,-10.297,0.147,0.663,0.847,0.12,0.234,69.718,4,1.3689253935660506,1
A Shrine in the Clouds,Path to Shing,Kainbeats,2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",109685,37,0.682,1,-18.957,0.0542,0.972,0.936,0.0925,0.167,132.033,4,1.426420260095825,1
The Floating Shrine,The Ocean,"Alto,Two Scents,Lenny Loops",2025-03-21T21:22:16Z,"lo-fi,jazz beats,jazz house,lo-fi beats",124931,30,0.553,4,-16.662,0.0316,0.911,0.917,0.0894,0.0777,73.025,4,1.3305954825462012,1
Sky Above,Dreamtime,Sleepermane,2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",118408,49,0.551,0,-20.497,0.0544,0.915,0.907,0.12,0.0442,112.861,3,2.64476386,1
a lonely star,falling dreams,Jhove,2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",217333,51,0.786,9,-21.703,0.0575,0.81,0.948,0.102,0.273,90.009,4,4.093086926762491,1
"New Apartment, No Furniture",Keeping Time,azayaka,2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",129671,37,0.732,9,-18.68,0.206,0.786,0.959,0.112,0.808,74.996,4,1.2922655715263518,1
Schoolyard Memories,Keeping Time,azayaka,2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",169014,40,0.687,9,-18.73,0.126,0.945,0.867,0.11,0.432,71.015,4,1.2922655715263518,1
Slumber Song,Somewhere. Nowhere.,Kupla,2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",132467,36,0.679,7,-14.708,0.0593,0.927,0.912,0.105,0.276,154.029,3,1.3689253935660506,1
Hideaway,Distant Images,"softy,Mondo Loops",2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",155224,52,0.587,3,-15.074,0.0329,0.957,0.872,0.108,0.131,143.942,4,3.983572895277208,1
After The Rain,Rooftop Memories,"Osaki,Tibeauthetraveler",2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",137581,31,0.711,4,-16.344,0.0456,0.849,0.756,0.0892,0.06,139.997,4,3.2060232717316905,1
We Met in the Forest,Sons of the Dew,Raimu,2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",201142,42,0.453,0,-18.173,0.0531,0.754,0.867,0.167,0.0496,157.456,4,3.9397672826830936,1
Persian Breeze,Fairy Tales,"Tibeauthetraveler,Dario Lessing",2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",192866,35,0.356,9,-15.66,0.0287,0.787,0.939,0.0974,0.0381,69.53,4,1.407255305,1
Fragments Of Paradise,Golden Age,Mondo Loops,2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",148363,31,0.601,5,-22.344,0.0284,0.766,0.929,0.0877,0.145,110.017,4,1.349760438056126,1
We Met,Until Forever,Yasumu,2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",141442,49,0.702,7,-13.475,0.0476,0.695,0.892,0.382,0.344,129.969,4,4.391512663,1
Dream Of A Butterfly,Fairy Tales,"Tibeauthetraveler,Dario Lessing",2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",138009,31,0.584,4,-17.502,0.0365,0.573,0.934,0.16,0.11,130.044,4,1.407255305,2
White Butterfly,Cascades,Tibeauthetraveler,2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",143397,45,0.506,2,-15.032,0.0386,0.908,0.972,0.111,0.154,63.003,4,2.529774127310062,1
Enchanted Reverie,Fairy Tales,"Tibeauthetraveler,Dario Lessing",2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",191428,34,0.455,1,-18.2,0.0356,0.631,0.918,0.121,0.038,139.983,5,1.407255305,1
Sunset Swim,Barbados,"Tibeauthetraveler,Banks",2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",148401,46,0.444,2,-11.379,0.0421,0.903,0.892,0.113,0.187,119.926,4,2.683093771,3
Secret Departure,The Ocean,"Alto,Lenny Loops,Two Scents",2025-03-21T21:22:16Z,"lo-fi,lo-fi beats,jazz beats,jazz house",132173,29,0.51,10,-12.593,0.0473,0.773,0.866,0.112,0.0635,138.009,4,1.3305954825462012,1
Dozing,Dozing,Chris Mazuera,2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",146346,49,0.644,9,-12.114,0.0933,0.354,0.848,0.0893,0.387,156.113,4,4.774811772758385,2
Autumn Breeze,Keeping Time,azayaka,2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",128780,52,0.79,1,-16.431,0.109,0.627,0.931,0.111,0.179,81.996,4,1.2922655715263518,1
Life Is For Living,Life Is For Living,"Hoogway,HoKø",2025-03-21T21:22:16Z,"lo-fi,lo-fi beats,jazz beats",173275,38,0.561,9,-21.941,0.0334,0.84,0.908,0.319,0.0399,115.959,4,1.273100616016427,1
Dusk,Purple Skies,"S N U G,Mondo Loops",2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",156322,51,0.579,0,-12.454,0.0415,0.678,0.889,0.11,0.132,171.966,4,3.780971937029432,1
The Last Onod,Golden Age,Mondo Loops,2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",144905,29,0.669,2,-18.51,0.0282,0.867,0.915,0.11,0.151,105.998,4,1.349760438056126,1
Childhood Memories,Afloat Again,"mell-ø,Ambulo",2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",97322,51,0.679,2,-10.502,0.0427,0.895,0.925,0.109,0.36,80.011,4,5.032169746748802,1
Sushi Night,Path to Shing,Kainbeats,2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",138571,41,0.64,5,-22.391,0.0353,0.944,0.93,0.105,0.226,125.986,4,1.426420260095825,1
Overgrown,The Inner Light,Tenno,2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",137910,52,0.493,8,-15.138,0.0386,0.742,0.925,0.115,0.153,134.063,4,3.704312114989733,1
Talking Till Late,Keeping Time,azayaka,2025-03-21T21:22:16Z,"lo-fi,lo-fi beats",154800,38,0.63,2,-19.803,0.0721,0.972,0.865,0.137,0.556,75.012,4,1.2922655715263518,1
