Track Name,Album Name,Artist Name(s),Genres,Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Song Age
iced tea for breakfast,gay story,In Love With a Ghost,lo-fi,76000,41,0.486,0.162,0,-23.007,1,0.0487,0.984,0.885,0.362,0.169,119.958,4,6.967830253
Couch Weather,Couch Weather,CaliCronk,lo-fi,139764,24,0.54,0.101,0,-20.752,0,0.219,0.942,0.597,0.0991,0.638,84.694,4,5.095140315
A Moment to Remember,A Moment to Remember,Nom Tunes,lo-fi,190455,25,0.743,0.331,6,-11.357,1,0.0647,0.789,0.888,0.149,0.455,143.985,3,5.305954825
oyasumi,oyasumi,ocha,"j-dance,lo-fi beats,lo-fi",204000,35,0.293,0.0604,1,-26.793,1,0.0502,0.959,0.868,0.111,0.14,80.021,4,7.44421629
Beneath the Rain,Everyday Moment,Nom Tunes,lo-fi,209415,41,0.686,0.308,3,-16.232,1,0.0433,0.974,0.954,0.11,0.267,120.014,4,7.290896646
cold door handles,nobody else,Idealism,"lo-fi,lo-fi beats",146666,33,0.679,0.284,11,-12.317,0,0.0399,0.678,0.918,0.115,0.325,143.875,4,7.277207392
Thoughts,Discography 2015-2016,In Love With a Ghost,lo-fi,132075,32,0.71,0.174,9,-16.03,0,0.139,0.292,0.867,0.0658,0.558,160.014,4,8.380561259
Breath,A Fall Journey,"Retro Jungle,Nohone",lo-fi,154576,43,0.474,0.252,4,-17.413,1,0.0957,0.889,0.908,0.0885,0.0888,58.871,4,6.36550308
a beautiful day,heavenly tone,yutaka hirasaka,lo-fi,296000,28,0.65,0.396,4,-11.051,1,0.0364,0.979,0.864,0.0992,0.302,90.004,4,6.420260096
Isla Bella,Isla Bella,Kendall Miles,"lo-fi,lo-fi beats",114176,35,0.548,0.39,4,-5.42,1,0.0504,0.852,0.879,0.124,0.549,85.865,4,7.34017796
bee,a warm home,Burbank,lo-fi,185684,27,0.76,0.543,1,-8.142,1,0.0914,0.569,0.932,0.104,0.304,95.021,4,6.004106776
you're so precious,distant memory,Slowheal,"lo-fi beats,lo-fi",133862,18,0.72,0.321,0,-12.561,1,0.0601,0.898,0.925,0.0689,0.187,78.005,4,6.959616701
tidal wave,missing piece,Slowheal,"lo-fi beats,lo-fi",106666,10,0.83,0.102,1,-13.304,1,0.054,0.669,0.813,0.103,0.308,81.022,4,5.344284736
shine,Eulogy,Nohidea,"lo-fi,lo-fi beats,j-dance",81951,29,0.82,0.495,2,-11.267,1,0.0615,0.841,0.613,0.123,0.152,163.887,4,6.203969884
Stella's Story,Stella's Story,Kendall Miles,"lo-fi,lo-fi beats",92612,31,0.612,0.0606,0,-15.235,1,0.0351,0.797,0.943,0.117,0.145,83.092,4,7.627652293
we'll stay inside when it rains,we'll stay inside when it rains,"Rook1e,.ihaveaface","lo-fi,lo-fi beats",130585,32,0.7,0.134,9,-17.898,1,0.0771,0.592,0.845,0.107,0.435,160.033,4,5.368925394
Follow Her,For You,Zeeky Beats,"lo-fi,lo-fi beats",125875,43,0.83,0.261,4,-13.33,1,0.053,0.55,0.937,0.11,0.15,131.993,4,5.522245038
The Girl I Have a Crush On,Unrequited Love,frad,lo-fi,137483,44,0.686,0.329,7,-10.924,1,0.0431,0.875,0.894,0.688,0.558,190.007,4,7.107460643
blossoms,blossoms,frad,lo-fi,156800,41,0.625,0.833,3,-9.027,1,0.0391,0.901,0.891,0.116,0.243,74.941,4,6.833675565
First Date,First Date,frad,lo-fi,173143,54,0.732,0.303,4,-13.575,1,0.057,0.75,0.828,0.141,0.601,82.555,4,6.951403149
You Make Me Smile,You Make Me Smile,frad,lo-fi,129000,18,0.873,0.598,0,-11.847,1,0.112,0.589,0.727,0.634,0.879,120.003,4,6.105407255
balter,balter,aesthetic boi,"lo-fi beats,lo-fi",129384,21,0.314,0.13,3,-25.583,1,0.0534,0.95,0.942,0.887,0.412,178.57,4,5.84257358
Space City,Space City,Ibrahim,lo-fi,184163,16,0.716,0.408,8,-11.453,1,0.0402,0.395,0.0596,0.0658,0.0778,80.022,4,7.019849418
sundown,sanctuary,mt. fujitive,"lo-fi,lo-fi beats,j-dance",112000,47,0.656,0.164,5,-19.742,1,0.0408,0.958,0.933,0.0996,0.48,76.061,3,5.467488022
Hold My Hand,Hold My Hand,frad,lo-fi,86153,26,0.799,0.272,1,-15.39,1,0.409,0.122,0.807,0.101,0.348,77.95,4,6.26146475
喫茶店,喫茶店,frad,lo-fi,205766,45,0.854,0.23,0,-18.112,1,0.0776,0.0335,0.891,0.0974,0.755,140.001,4,6.913073238
여행,여행,bloom.,j-dance,148000,25,0.865,0.19,7,-21.619,0,0.0623,0.844,0.0131,0.677,0.474,119.972,4,6.639288159
Luv Letters,Luv Letters,frad,lo-fi,164615,40,0.72,0.324,10,-12.427,1,0.0899,0.941,0.908,0.214,0.641,155.943,4,5.943874059
plain plaid purple morning,Rekindle the Past,biosphere,"lo-fi,lo-fi beats,j-dance",134844,39,0.554,0.152,0,-16.703,1,0.139,0.342,0.0428,0.131,0.415,137.079,1,6.833675565
bouquet of balloons,Rekindle the Past,biosphere,"lo-fi,lo-fi beats,j-dance",183703,43,0.73,0.336,7,-15.441,1,0.0602,0.445,0.826,0.122,0.793,162.011,4,6.833675565
spring carousel,Rekindle the Past,"biosphere,Park Bird","lo-fi,lo-fi beats,j-dance",120000,25,0.667,0.56,9,-9.148,1,0.163,0.43,0.423,0.123,0.308,163.985,4,6.833675565
i'll be there,Rekindle the Past,biosphere,"lo-fi,lo-fi beats,j-dance",112143,28,0.63,0.805,7,-9.229,0,0.0793,0.867,0.167,0.145,0.561,181.991,4,6.833675565
waltz in the meadows,Rekindle the Past,biosphere,"lo-fi,lo-fi beats,j-dance",115324,34,0.745,0.426,4,-12.495,0,0.0432,0.156,0.557,0.124,0.249,77.005,4,6.833675565
pastel sunset,Rekindle the Past,"biosphere,Barnes Blvd.","lo-fi,lo-fi beats,j-dance",183433,37,0.588,0.115,5,-19.393,1,0.0415,0.859,0.193,0.0475,0.0911,75.011,4,6.833675565
starstruck,Rekindle the Past,biosphere,"lo-fi,lo-fi beats,j-dance",161175,35,0.7,0.0879,1,-14.399,1,0.041,0.259,0.743,0.0615,0.261,140.026,4,6.833675565
Show Yourself,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),"Idina Menzel,Evan Rachel Wood",musicals,260906,70,0.321,0.432,6,-7.071,1,0.03,0.726,9.08E-05,0.0607,0.172,123.304,4,5.382614648
I Still Like You,Omoide,ビクター ＭＫＩＩ,lo-fi,140270,34,0.461,0.753,0,-6.568,0,0.14,0.586,0.473,0.567,0.444,73.222,4,6.650239562
Bingsoo,Bingsoo,"Milky Day,Jazzinuf,frad","lo-fi,lo-fi beats,jazz beats",158677,9,0.723,0.492,5,-11.362,0,0.479,0.0103,0.00117,0.639,0.446,90.018,4,5.727583847
Omoide in My Garden,Omoide in My Garden,Luvbird,lo-fi,126000,18,0.776,0.496,0,-10.517,1,0.0999,0.241,0.614,0.0879,0.147,79.978,4,6.184804928
tea for one,unrequited,aqualina,lo-fi,103886,27,0.691,0.252,1,-18.565,1,0.0382,0.935,0.944,0.0799,0.381,65.403,4,7.184120465
one sided love,unrequited,aqualina,lo-fi,122500,31,0.568,0.211,5,-21.451,1,0.0388,0.978,0.878,0.123,0.234,72.081,4,7.184120465
happy when youre not here,gay story,In Love With a Ghost,lo-fi,106666,29,0.589,0.33,4,-16.088,1,0.0438,0.88,0.922,0.081,0.51,90.025,4,6.967830253
Flowers,Let's Go,"In Love With a Ghost,Nori","lo-fi,chillstep",252121,53,0.641,0.24,8,-19.107,1,0.047,0.979,0.866,0.234,0.32,99.02,4,7.44421629
Comet,Discography 2015-2016,In Love With a Ghost,lo-fi,138556,24,0.501,0.482,1,-13.489,0,0.041,0.967,0.842,0.378,0.509,96.943,4,8.380561259
blossom,blossom,aqualina,lo-fi,108031,21,0.402,0.304,6,-16.448,1,0.296,0.891,0.686,0.208,0.505,178.734,4,7.080082136
Pure Imagination,Dreams for Two,"Rook1e,j'san","lo-fi,lo-fi beats",104568,36,0.482,0.232,5,-18.35,1,0.046,0.971,0.608,0.119,0.448,130.501,4,7.570157426
bedtime stories,Sleepy Boy,"Rook1e,Casual Shifuku","lo-fi,lo-fi beats",76825,7,0.683,0.76,1,-11.848,1,0.0361,0.793,0.846,0.183,0.712,159.199,3,5.793292266
Summer Lovers,With U,neeks,lo-fi,95250,31,0.739,0.298,11,-14.818,0,0.0652,0.37,0.818,0.0737,0.358,159.792,3,6.819986311
Happy Is the Color of U,With U,neeks,lo-fi,234418,12,0.578,0.233,0,-19.697,1,0.135,0.975,0.303,0.775,0.423,171.372,4,6.819986311
Strawberry Milk,Strawberry Milk,neeks,lo-fi,174720,34,0.765,0.224,0,-20.83,1,0.091,0.767,0.0325,0.37,0.2,62.417,4,5.73853525
Sorry for Not Answering the Phone I'm Too Busy Trying to Fly Away,Let's Go,In Love With a Ghost,lo-fi,132413,44,0.476,0.161,1,-16.368,1,0.212,0.847,0,0.0331,0.33,96.69,5,7.44421629
"Safe, Now",Colors,"Harris Cole,Aso","lo-fi,lo-fi beats,jazz beats",256000,43,0.72,0.0715,3,-26.251,1,0.0529,0.83,0.932,0.0842,0.0649,120.129,4,6.847364819
振り返って見つめて,[Maid Sama!] Original Soundtrack,前口渉,anime,92920,23,0.722,0.0372,2,-22.428,1,0.0416,0.772,0.75,0.102,0.347,80.002,3,14.77891855
